UnitName,Abrv,Use,toBase,fromBase
radian/second,rad/s,,x,x
radian/minute,rad/min,,x * (1 / 60),x / (1 / 60)
radian/hour,rad/hr,,x * (1 / 3600),x / (1 / 3600)
radian/day,rad/d,,x * 1.15741E-05,x / 1.15741E-05
degree/second,\u00B0/s,,x * 0.0174532925,x / 0.0174532925
degree/minute,\u00B0/min,,x * 0.0002908882,x / 0.0002908882
degree/hour,\u00B0/hr,,x * 4.8481368110954E-06,x / 4.8481368110954E-06
degree/day,\u00B0/d,,x * 2.0200570046231E-07,x / 2.0200570046231E-07
revolution/second,RPS,,x * 6.2831853072,x / 6.2831853072
revolution/minute,RPM,,x * 0.1047197551,x / 0.1047197551
revolution/hour,rev/hr,,x * 0.0017453293,x / 0.0017453293
revolution/day,rev/d,,x * 0.0000727221,x / 0.0000727221
