UnitName,Abrv,Use,toBase,fromBase
joule,J,,x,x
kilojoule,kJ,,x * 1000,x / 1000
kilowatt-hour,kWh,,x * 3600000,x / 3600000
watt-hour,Wh,,x * 3600000,x / 3600000
calorie,,nutritional,x * 4186.8,x / 4186.8
horsepower hour,,metric,x * 2647795.5,x / 2647795.5
Btu,Btu,,x * 1055.05585262,x / 1055.05585262
gigajoule,Gj,,x * 1000000000,x / 1000000000
megajoule,Mj,,x * 1000000,x / 1000000
millijoule,mJ,,x * 0.001,x / 0.001
microjoule,\u03BCJ,,x * 0.000001,x / 0.000001
nanojoule,nJ,,x * 0.000000001,x / 0.000000001
attojoule,aJ,,x * 0.000000000000000001,x / 0.000000000000000001
megaelectrol-volt,MeV,,x * 0.00000000000016021766339999,x / 0.00000000000016021766339999
kiloelectron-volt,keV,,x * 0.00000000000000016021766339999,x / 0.00000000000000016021766339999
electron-volt,eV,,x * 0.00000000000000000016021766339999,x / 0.00000000000000000016021766339999
erg,,,x * 0.0000001,x / 0.0000001
gigawatt-hour,GWh,,x * 3600000000000,x / 3600000000000
megawatt-hour,MWh,,x * 3600000000,x / 3600000000
kilowatt-second,kWs,,x * 1000,x / 1000
watt-second,Ws,,x,x
newton meter,Nm,,x,x
horsepower hour,hph,,x * 2684519.5368856,x / 2684519.5368856
kilocalorie,kcal,,x * 4186.8,x / 4186.8
calorie,cal,,x * 4.1868,x / 4.1868
mega Btu,Mbtu,,x * 1055055852,x / 1055055852
ton-hour,,refrigeration,x * 12660670.23144,x / 12660670.23144
gigaton,Gton,,x * 4184000000000000000,x / 4184000000000000000
megaton,Mton,,x * 4184000000000000,x / 4184000000000000
kiloton,kton,,x * 4184000000000,x / 4184000000000
ton,,explosives,x * 4184000000,x / 4184000000
dyne centimeter,dyn-cm,,x * 0.0000001,x / 0.0000001
gram-force meter,gf-m,,x * 0.00980665,x / 0.00980665
gram-force centimeter,gf-cm,,x * 0.0000980665,x / 0.0000980665
kilogram-force meter,kgf-m,,x * 9.8066499997,x / 9.8066499997
kilogram-force centimeter,kgf-cm,,x * 0.0980665,x / 0.0980665
kilopond meter,kp-m,,x * 9.8066499997,x / 9.8066499997
pound-force foot,lbf-ft,,x * 1.3558179483,x / 1.3558179483
pound-force inch,lbf-in,,x * 0.112984829,x / 0.112984829
ounce-force inch,ozf-in,,x * 0.0070615518,x / 0.0070615518
foot-pound,ft-lbf,,x * 1.3558179483,x / 1.3558179483
inch-pound,in-lbf,,x * 0.112984829,x / 0.112984829
poundal foot,pdl-ft,,x * 0.04214011,x / 0.04214011
therm,,,x * 105505600,x / 105505600
Hartree energy,,,x * 0.0000000000000000043597482,x / 0.0000000000000000043597482
Rydberg constant,,,x * 0.0000000000000000021798741,x / 0.0000000000000000021798741
