UnitName,Abrv,Use,toBase,fromBase
cubic meter/day,m\u00B3/d,,,
cubic meter/hour,m\u00B3/hr,,,
cubic meter/minute,m\u00B3/min,,,
cubic meter/second,m\u00B3/s,,,
cubic centimeter/day,cm\u00B3/d,,,
cubic centimeter/hour,cm\u00B3/hr,,,
cubic centimeter/minute,cm\u00B3/min,,,
cubic centimeter/second,cm\u00B3/s,,,
liter/day,L/d,,,
liter/hour,L/hr,,,
liter/minute,L/min,,,
liter/second,L/s,,,
millileter/day,mL/d,,,
millileter/hour,mL/hr,,,
millileter/minute,mL/min,,,
millileter/second,mL/s,,,
gallon/day,gal/d,US,,
gallon/hour,gal/hr,US,,
gallon/minute,gal/min,US,,
gallon/second,gal/s,US,,
gallon/day,gal/d,UK,,
gallon/hour,gal/hr,UK,,
gallon/minute,gal/min,UK,,
gallon/second,gal/sec,UK,,
kilobarrel/day,kbbl/d,US,,
barrel/day,bbl/d,US,,
barrel/hour,bbl/hr,US,,
barrel/minute,bbl/min,US,,
barrel/second,bbl/s,US,,
acre-foot/year,ac-ft/y,,,
acre-foot/day,ac-ft/d,,,
acre-foot/hour,ac-ft/hr,,,
hundred-cubic foot/day,,,,
hundred-cubic foot/hour,,,,
hundred-cubic foot/minute,,,,
ounce/hour,oz/hr,US,,
ounce/minute,oz/min,US,,
ounce/second,oz/s,US,,
ounce/hour,oz/hr,UK,,
ounce/minute,oz/min,UK,,
ounce/second,oz/s,UK,,
cubic yard/hour,yd\u00B3/hr,,,
cubic yard/minute,yd\u00B3/min,,,
cubic yard/second,yd\u00B3/s,,,
cubic foot/hour,ft\u00B3/hr,,,
cubic foot/minute,ft\u00B3/min,,,
cubic foot/second,ft\u00B3/s,,,
cubic inch/hour,in\u00B3/hr,,,
cubic inch/minute,in\u00B3/min,,,
cubic inch/second,in\u00B3/s,,,
